journey_id,user_id,start_type,start_lat,start_lon,source,driver_score
23a1406fc6a11d866e3c82f22eed4d4c,0e9af5bbf1edfe591b54ecdfd7e91e26,asap,"-12,13983536","-77,02355957",iPhone,5.0
dd2af4715d0dc16eded53afc0e243577,a553c46e3a22fb9c326aeb3d72b3334e,asap,"-12,13874817","-76,99536133",iPhone,
dd91e131888064bf7df3ce08f3d4b4ad,a553c46e3a22fb9c326aeb3d72b3334e,asap,"-12,12453079","-77,02780151",iPhone,
dd2af4715d0dc16eded53afc0e2466d0,a553c46e3a22fb9c326aeb3d72b3334e,asap,"-12,13885117","-76,99530029",iPhone,
85b7eabcf5d84e42dc7629b7d27781af,56772d544fdfa589a020a1ff894a86f7,reserved,"-12,08995438","-76,92626953",iPhone,4.0
2254715f0f569e3173ec61f16cbb8341,56772d544fdfa589a020a1ff894a86f7,reserved,"-12,02241898","-77,10650635",iPhone,
12432d83b49393bf25164673212b8295,56772d544fdfa589a020a1ff894a86f7,reserved,"-12,08995819","-76,9262085",iPhone,5.0
2e51db3a8a77aa594aa686ff19fe6036,56772d544fdfa589a020a1ff894a86f7,asap,"-12,11347198","-77,04385376",iPhone,5.0
0234eb5f7e99d581c72052f0a868289c,0234eb5f7e99d581c72052f0a869293a,asap,"-12,11068311","-77,00212106",Android,0.0
9448070ece760ea5386e5d4822121a6c,dd23cf0ef33ae44e0c0b4c756e1fe4e8,asap,"-12,08969627","-77,03574926",Android,5.0
297c055e30be8d9a933868c94980a7df,7abecd4f47c2c1d5390d86eb22181c90,asap,"-12,10142941","-77,00434059",Android,
af7a0d5b65562d9e4f7749317efb1a3a,7abecd4f47c2c1d5390d86eb22181c90,reserved,"-12,10128779","-77,00463697",Android,
ea91d2d997d84fbfddbd2657db7bec90,39ec1ffa2e126b1691f97fef3e369d04,asap,"-12,11995681","-77,01533832",Android,5.0
ea91d2d997d84fbfddbd2657db7cad2e,39ec1ffa2e126b1691f97fef3e369d04,asap,"-12,12491675","-77,03367457",Android,
3fa8651f453319abccf9760fe64c927e,7d1f317a98447453092aa1301ebae2c5,asap,"-12,08972168","-77,01724243",iPhone,
4d099d2850587a481735551982f06342,67f4e7c0046acc442e7944fc606c64bd,asap,"-12,10849762","-77,04162598",iPhone,
196d9de717b4c8d6ec0f19c0e8c0dd9b,2d163dcf6f3e01abf4af5b2a7222acc4,asap,"-12,08937454","-76,93692017",iPhone,
761a1b1e8e4103f2ac5a42556413e2e7,2d163dcf6f3e01abf4af5b2a7222acc4,reserved,"-12,11476898","-76,97399902",iPhone,
16ba39d30594f6050cb8ab702fc41e02,1d6bbc303a2c6584d56322b8cef26f65,reserved,"-12,0860989","-76,9014698",web,
15ed4199b937f56b5257f698df652a24,1d6bbc303a2c6584d56322b8cef26f65,asap,"-12,11864265","-77,03364439",Android,
141fe4a8514e64b4a76d7ed795bfdade,1d6bbc303a2c6584d56322b8cef26f65,asap,"-12,13208","-77,024424",Android,
7abecd4f47c2c1d5390d86eb221babff,d0d21e2cc815fa276295ce3c51811d4e,asap,"-12,0834957","-77,0493404",web,
0e407b566f8607a539d3287899fc42c9,a7b77e5e6e60dc427d96d8d22ac7ba0d,asap,"-12,13578415","-77,02719116",iPhone,
23be2836bd1f20bf05c9ffa3aa6db37c,410389a59b3c36fa86e76bce43d9a336,reserved,"-12,1099832","-76,975818",web,
ec84a73745199ff840ecafcb928250fd,410389a59b3c36fa86e76bce43d9a336,reserved,"-12,1312973","-76,9824845",web,
b8ae7685c97ef64f90a646a3b97ed4c0,410389a59b3c36fa86e76bce43d9a336,asap,"-12,074953","-77,030404",web,
031fea9628f9238b051a58808553bb49,410389a59b3c36fa86e76bce43d9a336,asap,"-12,1107896","-76,9854538",web,
58af3d0a68980e98b9cc7d5383ef78a6,410389a59b3c36fa86e76bce43d9a336,asap,"-12,0197627","-76,9666032",web,
80bac185b5571746a5985f7f0f32ba8b,297c055e30be8d9a933868c949b9bbac,reserved,"-12,11436081","-77,04165649",iPhone,
1881c928349fa432c4c0cb4434807dec,e7502b492346e09de17e1542782c1af1,reserved,"-12,10833359","-77,04638672",iPhone,
fdd0e7184d1ec5e7cba69b61ee25b39b,e7502b492346e09de17e1542782c1af1,reserved,"-12,10839081","-77,04608154",iPhone,
6b1a92b6b49faa86680739acb21fb5d8,93b4c8d3bdfd931a266ea99f7955834a,asap,"-12,06522751","-76,95300293",iPhone,
388cf395c282c2be29a124ced0dabde5,11b9c2d3923894404f5b4822af2257ad,asap,"-12,11796188","-77,01165771",iPad,
6d246b213b4736be3c507b456717d02d,58af3d0a68980e98b9cc7d5383ee77c8,reserved,"-12,06995392","-77,10195923",iPhone,
de5b7f1979a395d6791864bee02d2199,58af3d0a68980e98b9cc7d5383ee77c8,reserved,"-12,06983185","-77,10189819",iPhone,
51d71b143d0f21b1ffb195c827f07c8f,bd64ba6c7055d76fd1b2c63a115c5a7b,asap,"-12,11803818","-77,03530884",iPhone,4.0
2b6180ec6aab8e8ad2d066c643ab4a71,58f1684680597d6b5c7b39524c7dcf1b,asap,"-12,08338659","-76,96900416",Android,
96acbfbef7034b4ff82c5989bbe17759,4933dfc3aa43418031d095968b6e373b,reserved,"-12,04393005","-77,05621338",iPhone,5.0
95d99d0ddfe26fb80887f15fa99b0e8d,4933dfc3aa43418031d095968b6e373b,reserved,"-12,10168457","-77,02383423",iPhone,5.0
9f8014a35c7ab9439bb0fd3432fbe137,5e4cab5c9040947be5eb74a7b16da86f,asap,"-12,12241795","-77,01219711",Android,
a37ccff55ca3cff97b19b45ab2d9d627,5e4cab5c9040947be5eb74a7b16da86f,asap,"-12,12224979","-77,01189067",Android,
eddbb47ea9e1646ee81e528c8ffe4d1e,81771803646e88efe073786dd2102f8c,reserved,"-12,09266663","-77,04122925",iPad,
124dc2dbc4f79130bfa0b935778af97f,00cb8ad6a0f7214d002e3ded6b7de012,reserved,"-12,019468","-77,107768",web,5.0
433e19fcd3c5eb9fb24a395a746fdb15,00cb8ad6a0f7214d002e3ded6b7de012,reserved,"-12,081937","-77,089126",Android,0.0
5ced91860ba5d7fe2859267c8952f747,00cb8ad6a0f7214d002e3ded6b7de012,reserved,"-12,026758","-77,107415",Android,
d2f1475850c213560abdec5deadfb955,00cb8ad6a0f7214d002e3ded6b7de012,asap,"-12,082282","-77,089432",Android,
5111ac6114962976d7fd625788526a52,6093009ede0869dc60d33649921652da,asap,"-12,08375168","-76,99313354",iPhone,
5111ac6114962976d7fd625788f1016f,6093009ede0869dc60d33649921652da,asap,"-12,0838623","-76,99319458",iPhone,
70ba4ba5a1d09c1213940afbf8cc84be,70ba4ba5a1d09c1213940afbf86cdb9e,asap,"-12,13063049","-77,02774048",iPhone,
a553c46e3a22fb9c326aeb3d72aff619,a553c46e3a22fb9c326aeb3d72b01bb9,asap,"-12,12295151","-77,04003906",iPhone,5.0
2ca81f8112b8c60af222ee2ed74992f0,ac46e4f81684b4d6b5ad4fa76e94b1f8,asap,"-12,05416032","-76,93797167",Android,
e1b5a14977e84b1900b5b69e040c3de1,1e44c0fd0a266c3719ff30410baa07cd,reserved,"-12,11184692","-77,03222656",iPhone,
2ca81f8112b8c60af222ee2ed7850ef7,11b9c2d3923894404f5b4822af2257ad,asap,"-12,08044434","-76,93746948",iPad,
e013d5709301badd8c2f27b001110178,11b9c2d3923894404f5b4822af2257ad,asap,"-12,11809158","-77,01187134",iPad,
f728194ffdb461394d105863bc58e18a,11b9c2d3923894404f5b4822af2257ad,asap,"-12,22206497","-76,9770813",iPad,5.0
f728194ffdb461394d105863bc58f595,11b9c2d3923894404f5b4822af2257ad,asap,"-12,22206497","-76,9770813",iPad,
2f1882c87731970df63e69d4bc27cea4,11b9c2d3923894404f5b4822af2257ad,asap,"-12,11782074","-77,01165771",iPad,
62c2e39787aa19cd2513901cf3b4dc5e,ac46e4f81684b4d6b5ad4fa76e9662d8,asap,"-12,09685516","-77,03717041",iPhone,
55083e0137c0a9c7a82afecab6263984,649d38ea6680a3f6ee4a4b734f508d9d,asap,"-12,13216782","-77,0302124",iPhone,
fdf02c2d7b2dd9c0c7eb0b0b729cc655,649d38ea6680a3f6ee4a4b734f508d9d,asap,"-12,14313126","-77,01556396",iPhone,5.0
8998bb370b5f0cec43a373adebbfb0a6,649d38ea6680a3f6ee4a4b734f508d9d,asap,"-12,1388588","-76,99533081",iPhone,5.0
f4a628e194b2de7be1024c1330f2943e,649d38ea6680a3f6ee4a4b734f508d9d,asap,"-12,13882828","-76,99530029",iPhone,
358741ec2409c505c4545c38660cb848,7073883383b89ad289e86402212fac24,reserved,"-12,11761475","-76,96551514",iPhone,
6a93cb8cf1ff4234508a40e9510ab45e,1c371e04d1dbaceeb9cc2ec52b89c771,reserved,"-12,09508896","-77,03811646",iPhone,
0756e1a1be3313a1a223bc6eb847aa83,649d38ea6680a3f6ee4a4b734f508d9d,asap,"-12,13230133","-77,02999878",iPhone,4.0
8998bb370b5f0cec43a373adebbfb588,649d38ea6680a3f6ee4a4b734f508d9d,asap,"-12,13884735","-76,99526978",iPhone,
7d696ae0f1d27b6b752121cffbd3842e,68fe4d0ad82cc2d715d131953336cea4,reserved,"-12,1202607","-77,0301582",web,
eb06449983dd990ff162c0ad990909ba,933a5cf7834b12121755b8586b53a083,reserved,"-12,12078476","-76,97079468",iPhone,4.0
