journey_id,driver_id,taxi_id,icon,start_at,end_at,end_lat,end_lon,end_state,driver_start_lat,driver_start_lon,arrived_at,rider_score
23a1406fc6a11d866e3c82f22eed4d4c,583949a89a9ee17d19e3ca4f137b6b4c,b12f4f09c783e29fe0d0ea624530db56,executive,2010-11-16 16:44:00,2010-11-16 17:29:00,"-12,05537033","-77,0413208",drop off,"-12,10825481","-77,0272739",2010-11-16 17:02:00,5.0
dd2af4715d0dc16eded53afc0e243577,,,executive,2010-06-01 00:34:00,2010-06-01 00:37:00,"-12,12465668","-77,02886963",not found,,,,
dd91e131888064bf7df3ce08f3d4b4ad,,,executive,2010-05-31 05:01:00,2010-05-31 05:04:00,"-12,13883209","-76,99530029",not found,,,,
dd2af4715d0dc16eded53afc0e2466d0,,,executive,2010-06-01 00:29:00,2010-06-01 00:32:00,"-12,12458801","-77,02896118",not found,,,,
85b7eabcf5d84e42dc7629b7d27781af,d665fb9f75ef5d9cd0fd89479380ba78,0accdd3aa5a322f4129fa20b53278c69,executive,2010-09-11 23:55:00,2010-09-12 01:07:00,"-12,02223206","-77,10638428",drop off,"-12,08311558","-76,9277072",2010-09-11 23:50:00,5.0
2254715f0f569e3173ec61f16cbb8341,baacf396f773709519bbde35a5eab861,baacf396f773709519bbde35a585d91b,executive,2010-08-10 13:00:00,2010-08-10 14:26:00,"-12,08980179","-76,92608643",drop off,"-12,01706754","-77,05986526",2010-08-10 12:53:00,4.0
12432d83b49393bf25164673212b8295,e1332f68e81526e498e4d845233a6d7d,e1332f68e81526e498e4d845235baf80,executive,2010-08-08 12:10:00,2010-08-08 12:48:00,"-12,02152252","-77,10623169",drop off,"-12,08509125","-76,96944424",2010-08-08 12:01:00,5.0
2e51db3a8a77aa594aa686ff19fe6036,d665fb9f75ef5d9cd0fd89479380ba78,0accdd3aa5a322f4129fa20b53278c69,executive,2010-05-16 03:58:00,2010-05-16 04:40:00,"-12,09108734","-76,92266846",drop off,"-12,10828994","-77,03530221",2010-05-16 04:06:00,5.0
0234eb5f7e99d581c72052f0a868289c,d04f1a596fe4a582f48e6eb2f9e8f617,d04f1a596fe4a582f48e6eb2f9e8cceb,executive,2010-07-09 05:56:00,2010-07-09 06:37:00,"-12,07299558","-77,09785346",drop off,"-12,12584246","-77,03298835",2010-07-09 06:13:00,4.0
9448070ece760ea5386e5d4822121a6c,406921adcca37705ef527b4246c0cfea,406921adcca37705ef527b4246c10d2c,executive,2010-11-22 23:42:00,2010-11-23 00:53:00,"-12,03449872","-77,03020982",drop off,"-12,0898203","-77,0358663",2010-11-23 00:05:00,5.0
297c055e30be8d9a933868c94980a7df,d04f1a596fe4a582f48e6eb2f9e8f617,d04f1a596fe4a582f48e6eb2f9e8cceb,executive,2010-12-14 03:08:00,2010-12-14 03:39:00,"-12,12008105","-76,99520499",drop off,"-12,08874061","-77,0063344",2010-12-14 03:20:00,4.0
af7a0d5b65562d9e4f7749317efb1a3a,d04f1a596fe4a582f48e6eb2f9e8f617,d04f1a596fe4a582f48e6eb2f9e8cceb,executive,2010-11-28 03:15:00,2010-11-28 03:37:00,"-12,10112256","-77,00418301",drop off,"-12,1011259","-77,0041831",2010-11-28 03:22:00,4.0
ea91d2d997d84fbfddbd2657db7bec90,633dbc6b4e8edc3bf01b07b01ab543fe,275052e660ff5672db6624c42b67ef9c,executive,2010-12-14 22:39:00,2010-12-14 22:59:00,"-12,12481809","-77,03361522",drop off,"-12,10551257","-77,01781845",2010-12-14 22:48:00,5.0
ea91d2d997d84fbfddbd2657db7cad2e,e84fda9c5df33f03c89b6923c361fb35,e84fda9c5df33f03c89b6923c362193f,executive,2010-12-14 19:23:00,2010-12-14 20:00:00,"-12,11995518","-77,01527663",drop off,"-12,08875064","-76,96314051",2010-12-14 19:47:00,5.0
3fa8651f453319abccf9760fe64c927e,,,executive,2010-06-21 11:08:00,2010-06-21 11:11:00,"-12,11977386","-76,99523926",not found,,,,
4d099d2850587a481735551982f06342,65b6f3b7075270499ddd0f1dc11d4e11,3c6f537575929e983585ae9e8648d84a,executive,2010-05-15 00:08:00,2010-05-15 00:43:00,"-12,103302","-77,04678345",drop off,"-12,12280146","-77,03200189",2010-05-15 00:32:00,5.0
196d9de717b4c8d6ec0f19c0e8c0dd9b,e84fda9c5df33f03c89b6923c361fb35,e84fda9c5df33f03c89b6923c362193f,executive,2010-11-24 19:18:00,2010-11-24 20:21:00,"-12,13144684","-77,02966309",drop off,"-12,12963851","-76,97798932",2010-11-24 19:55:00,5.0
761a1b1e8e4103f2ac5a42556413e2e7,d665fb9f75ef5d9cd0fd89479380ba78,0accdd3aa5a322f4129fa20b53278c69,executive,2010-09-16 17:15:00,2010-09-16 17:35:00,"-12,08744049","-76,92370605",drop off,"-12,11349964","-76,97416306",2010-09-16 17:10:00,5.0
16ba39d30594f6050cb8ab702fc41e02,,,executive,2010-12-07 03:00:00,2010-12-06 21:59:00,"-12,0702332","-76,9537277",rider cancel,,,,
15ed4199b937f56b5257f698df652a24,d04f1a596fe4a582f48e6eb2f9e8f617,d04f1a596fe4a582f48e6eb2f9e8cceb,executive,2010-10-19 03:22:00,2010-10-19 03:37:00,"-12,10305509","-77,03843985",drop off,"-12,12576466","-77,03298566",2010-10-19 03:29:00,4.0
141fe4a8514e64b4a76d7ed795bfdade,,,executive,2010-04-05 23:46:00,2010-04-05 23:49:00,"-12,094908","-77,046008",not found,,,,
7abecd4f47c2c1d5390d86eb221babff,406921adcca37705ef527b4246c0cfea,406921adcca37705ef527b4246c10d2c,executive,2010-04-26 21:42:00,2010-04-26 21:59:00,"-12,068517","-77,041334",drop off,"-12,08911977","-77,03838321",2010-04-26 21:51:00,0.0
0e407b566f8607a539d3287899fc42c9,,,executive,2010-11-15 19:14:00,2010-11-15 19:21:00,"-12,09751511","-77,0206604",not found,"-12,11076379","-77,03409433",,
23be2836bd1f20bf05c9ffa3aa6db37c,406921adcca37705ef527b4246c0cfea,406921adcca37705ef527b4246c10d2c,executive,2010-05-20 16:27:00,2010-05-20 17:16:00,"-12,1254832","-77,0293897",drop off,"-12,098508","-76,99515788",2010-05-20 16:16:00,5.0
ec84a73745199ff840ecafcb928250fd,,,executive,2010-05-13 20:00:00,2010-05-13 18:27:00,"-12,1254832","-77,0293897",rider cancel,,,,
b8ae7685c97ef64f90a646a3b97ed4c0,d665fb9f75ef5d9cd0fd89479380ba78,0accdd3aa5a322f4129fa20b53278c69,executive,2010-03-11 15:35:00,2010-03-11 16:07:00,"-12,0197627","-76,9666032",drop off,"-12,06554001","-77,02722641",2010-03-11 15:45:00,
031fea9628f9238b051a58808553bb49,031fea9628f9238b051a58808554498a,031fea9628f9238b051a588085333504,executive,2010-02-21 18:15:00,2010-02-21 18:16:00,"-12,1287139","-77,0296191",drop off,"-12,1141078","-76,9931855",2010-02-21 18:16:00,
58af3d0a68980e98b9cc7d5383ef78a6,d04f1a596fe4a582f48e6eb2f9e8f617,d04f1a596fe4a582f48e6eb2f9e8cceb,executive,2010-02-25 16:39:00,2010-02-25 16:40:00,"-12,1263555","-77,0172647",rider cancel,"-12,09786675","-76,97267827",,
80bac185b5571746a5985f7f0f32ba8b,e1332f68e81526e498e4d845233a6d7d,e1332f68e81526e498e4d845235baf80,executive,2010-12-25 11:40:00,2010-12-25 12:24:00,"-12,02225876","-77,10757446",drop off,"-12,12566144","-77,02175188",2010-12-25 11:34:00,5.0
